title,releaseYear,runtimeMins,genre,director,worldwideGross,grossUSA,budget,imdbRating,listRank,url
Rocky,1976,120,Drama,John G. Avildsen,117250382,117235147,960000,8.1,181,https://www.imdb.com/title/tt0075148/
"Monsters, Inc.",2001,92,Animation,Pete Docter,579707738,290642256,115000000,8.1,182,https://www.imdb.com/title/tt0198781/
Before Sunset,2004,80,Drama,Richard Linklater,15936507,5820649,2700000,8.1,183,https://www.imdb.com/title/tt0381681/
What Ever Happened to Baby Jane?,1962,134,Drama,Robert Aldrich,No info,No info,980000,8.1,184,https://www.imdb.com/title/tt0056687/
The Shop Around the Corner,1940,99,Comedy,Ernst Lubitsch,36368,No info,No info,8.1,185,https://www.imdb.com/title/tt0033045/
Paper Moon,1973,102,Comedy,Peter Bogdanovich,No info,No info,2500000,8.1,186,https://www.imdb.com/title/tt0070510/
The Princess Bride,1987,98,Adventure,Rob Reiner,30902642,30857814,16000000,8.0,187,https://www.imdb.com/title/tt0093779/
The Help,2011,146,Drama,Tate Taylor,216639112,169708112,25000000,8.0,188,https://www.imdb.com/title/tt1454029/
Pink Floyd: The Wall,1982,95,Drama,Alan Parker,22265763,22244207,12000000,8.1,189,https://www.imdb.com/title/tt0084503/
The Grapes of Wrath,1940,129,Drama,John Ford,No info,No info,800000,8.0,190,https://www.imdb.com/title/tt0032551/
Lion,2016,118,Biography,Garth Davis,140312928,51738905,12000000,8.0,191,https://www.imdb.com/title/tt3741834/
Scent of a Woman,1992,156,Drama,Martin Brest,134095253,63095253,31000000,8.0,192,https://www.imdb.com/title/tt0105323/
Aladdin,1992,90,Animation,Ron Clements,504050219,217350219,28000000,8.0,193,https://www.imdb.com/title/tt0103639/
All Quiet on the Western Front,1930,152,Drama,Lewis Milestone,No info,No info,1200000,8.0,194,https://www.imdb.com/title/tt0020629/
Guardians of the Galaxy,2014,121,Action,James Gunn,773350147,333718600,170000000,8.0,195,https://www.imdb.com/title/tt2015381/
Roman Holiday,1953,118,Comedy,William Wyler,No info,No info,1500000,8.0,196,https://www.imdb.com/title/tt0046250/
Sweet Smell of Success,1957,96,Drama,Alexander Mackendrick,7704,No info,3400000,8.0,197,https://www.imdb.com/title/tt0051036/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,Action,Gore Verbinski,654264015,305413918,140000000,8.0,198,https://www.imdb.com/title/tt0325980/
The Best Years of Our Lives,1946,170,Drama,William Wyler,23656620,23650000,2100000,8.0,199,https://www.imdb.com/title/tt0036868/
Gandhi,1982,191,Biography,Richard Attenborough,52767889,52767889,22000000,8.0,200,https://www.imdb.com/title/tt0083987/
Butch Cassidy and the Sundance Kid,1969,110,Biography,George Roy Hill,102310697,102308889,6000000,8.0,201,https://www.imdb.com/title/tt0064115/
The Terminator,1984,107,Action,James Cameron,78371200,38371200,6400000,8.0,202,https://www.imdb.com/title/tt0088247/
The Iron Giant,1999,86,Animation,Brad Bird,23180087,23159305,70000000,8.0,203,https://www.imdb.com/title/tt0129167/
The Exorcist,1973,122,Horror,William Friedkin,441306145,232906145,11000000,8.0,204,https://www.imdb.com/title/tt0070047/
Dogville,2003,178,Crime,Lars Von Trier,16689283,1535286,10000000,8.0,205,https://www.imdb.com/title/tt0276919/
Papillon,1973,151,Biography,Franklin J. Schaffner,53267000,53267000,12000000,8.0,206,https://www.imdb.com/title/tt0070511/
The Sound of Music,1965,172,Biography,Robert Wise,159428329,159287539,8200000,8.0,207,https://www.imdb.com/title/tt0059742/
Beauty and the Beast,1991,84,Animation,Gary Trousdale,424967620,218967620,25000000,8.0,208,https://www.imdb.com/title/tt0101414/
Dog Day Afternoon,1975,125,Biography,Sidney Lumet,50000000,50000000,1800000,8.0,209,https://www.imdb.com/title/tt0072890/
Groundhog Day,1993,101,Comedy,Harold Ramis,71074049,71073420,14600000,8.0,210,https://www.imdb.com/title/tt0107048/
